tweet_id_customer,text_customer,created_at_customer,tweet_id_brand,in_response_to_tweet_id,text_brand,created_at_brand,intent,action,escalate_reason,ideal_reply
271368,@Uber_Support 2nd incident you expect us to wait  more then 25 mints for a ride if we try to cancel for that also you charged wht a pathetic service u giv,Wed Oct 11 02:33:26 +0000 2017,271370,271368.0,@180752 Sorry to hear about this! Please send us a note here https://t.co/QsI1vsvcif so we can follow up with you directly.,Wed Oct 11 06:36:09 +0000 2017,Billing / Refund,Escalate,Angry customer complaining about wait time and charges,@180752 Sorry to hear about this! Please send us a note here https://t.co/QsI1vsvcif so we can follow up with you directly.
1300762,@115873 driver almost kills me by getting t-boned then proceeds to sing and whistle as we drive away.... LIKE WHAT?!,Thu Oct 26 23:31:00 +0000 2017,1300761,1300762.0,@424013 Here to help. Send us a note at https://t.co/IeSxT5uwza so our team can connect.,Thu Oct 26 23:56:24 +0000 2017,Safety / Driver Behavior,Escalate,Driver caused near-accident and behaved dangerously,@424013 Here to help. Send us a note at https://t.co/IeSxT5uwza so our team can connect.
520856,@115873 I’ll happily pay like 30-40$ a month for a ride pass around my city. It’s so clutch,Sat Dec 02 03:00:52 +0000 2017,520855,520856.0,@240243 Hi Ryan! Please write in your comment about ride pass to https://t.co/zUe0djo9gv and fill out the 4 boxes at the bottom so we can assist.,Sat Dec 02 03:05:58 +0000 2017,General Inquiry,Auto-handle,"Positive statement about ride pass, no issue reported",@240243 Hi Ryan! Please write in your comment about ride pass to https://t.co/zUe0djo9gv and fill out the 4 boxes at the bottom so we can assist.
2818782,@Uber_Support What's going on with the customer service that no one can pick up the phone after being on hold for 50+ minutes?,Mon Nov 27 05:27:45 +0000 2017,2818784,2818782.0,"@785720 We're sorry about that! Please DM us your email address and provide specific details regarding your concern, so we can further assist.",Mon Nov 27 05:29:49 +0000 2017,General Inquiry,Auto-handle,"Customer is asking about phone support availability, not a safety or billing issue.","@785720 We're sorry about that! Please DM us your email address and provide specific details regarding your concern, so we can further assist."
372517,@Uber_Support is there a pay in cash option for uber eats?,Sun Oct 08 18:51:21 +0000 2017,372516,372517.0,@204266 We are always looking to expand within the platform! Stay tuned.,Sun Oct 08 23:40:08 +0000 2017,General Inquiry,Auto-handle,Customer is asking about payment options for Uber Eats.,@204266 We are always looking to expand within the platform! Stay tuned.
129984,@7492 im a uber driver that need help but I never get any help from uber support regarding my profile being link to a wrong partner..it was actually link by uber support it self from there side now there don't willing to help me regarding this issue,Fri Nov 24 06:12:53 +0000 2017,129983,129984.0,@144891 We apologize for the trouble! We're currently reviewing your email and will connect right away.,Fri Nov 24 06:15:37 +0000 2017,Account / App Issue,Escalate,Driver profile linked to wrong partner and support not helping; requires human intervention,@144891 We apologize for the trouble! We're currently reviewing your email and will connect right away.
299786,Why must 98% of @11970 cars reek of nauseating air fresheners?! https://t.co/PsO97N0kgW,Fri Oct 06 19:50:03 +0000 2017,299785,299786.0,@187465 Oh no! Sorry to hear that. Please send us a note at https://t.co/4wyg536va1 so we can follow up.,Fri Oct 06 20:01:24 +0000 2017,General Inquiry,Auto-handle,"Complaint about car odor, not a safety or billing issue",@187465 Oh no! Sorry to hear that. Please send us a note at https://t.co/4wyg536va1 so we can follow up.
1307703,"@Uber_Support had a problem with my ride, my driver took an absurd route. I'd like a refund and a couple rides off. I missed a meeting https://t.co/hKjgJkeAEW",Fri Oct 27 02:27:47 +0000 2017,1307702,1307703.0,@425584 Here to help. Send us a note at https://t.co/y4EDPcVZOI so our team can connect.,Fri Oct 27 03:41:40 +0000 2017,Billing / Refund,Escalate,"User requests refund for route issue, complex billing dispute.",@425584 Here to help. Send us a note at https://t.co/y4EDPcVZOI so our team can connect.
2570200,"@Uber_Support i am unable to access my account even after resetting my pasword
please help me on urgent basis
or guve me contact helpline no",Mon Oct 30 16:25:25 +0000 2017,2570199,2570200.0,"@728931 Here to help, Jasdeep. Contact us through https://t.co/7NEPYnmuMH so we can assist.",Mon Oct 30 16:51:41 +0000 2017,Account / App Issue,Auto-handle,User reports inability to access account after password reset,"@728931 Here to help, Jasdeep. Contact us through https://t.co/7NEPYnmuMH so we can assist."
1375404,@115873 user id __email__..xxld trip on 10oct drvr nt abl 2 rch pik up dstntn..niether uber wvs the charge nr lmme book new cab :(,Sat Oct 28 01:00:24 +0000 2017,1375402,1375404.0,@440158 Sorry to hear about that! Can you please contact us via https://t.co/K05RdmK3t4 so our team can connect?,Sat Oct 28 01:40:33 +0000 2017,Safety / Driver Behavior,Auto-handle,"Driver failed to reach pickup; no safety threat, can be handled automatically",@440158 Sorry to hear about that! Can you please contact us via https://t.co/K05RdmK3t4 so our team can connect?
